GENE_SYMBOLS,refseq_ids
PBX3,NM_001134778
ZNF765,NM_001040185
CYP3A5,NM_000777
KCNIP2,NM_014591
C17orf58,NM_001382359
EPB41L3,NM_001281533
BCO2,NM_001037290
RPL11,NM_000975
RAI2,NM_001172732
MAP3K6,NM_001297609
SCD,NM_005063
CACNA1B,NM_000718
SCOC,NM_001153446
ITPKC,NM_001411098
CAMLG,NM_001745
C16orf86,NM_001012984
APOBEC2,NM_006789
CCDC65,NM_001286957
NSG2,NM_015980
TRIP10,NM_001288962
ABCA7,NM_019112
RXRG,NM_001256570
PROS1,NM_000313
PRELID2,NM_138492
RPS19BP1,NM_194326
GNA14,NM_004297
F3,NM_001178096
MRPS24,NM_032014
ISCA2,NM_001272007
GNG2,NM_001243773
INSYN1,NM_001039614
PTP4A3,NM_007079
PACSIN1,NM_001199583
OLFM1,NM_001282611
CHST9,NM_001243848
C11orf95,NA
SLC25A4,NM_001151
TRIM47,NM_033452
NAP1L3,NM_004538
POLE4,NM_019896
ARHGEF3,NM_001128615
SMTN,NM_001207017
MAN1C1,NM_001289010
LMO4,NM_001369491
CRYBG1,NM_001371242
VWCE,NM_152718
PPP2R1A,NM_001363656
APOL6,NM_030641
SVIL,NM_001323599
LUCAT1,NR_103548
CNTNAP1,NM_003632
APOE,NM_000041
PPIF,NM_005729
SUMO1,NM_001005781
MRPL54,NM_172251
TIMM8B,NM_012459
WIPF1,NM_001077269
PLOD3,NM_001084
RNF187,NM_001010858
CRIM1-DT,NR_037631
CUTA,NM_001014433
ABT1,NM_013375
MAK16,NM_032509
FAM89A,NM_198552
SP110,NM_001185015
ANO6,NM_001025356
FKBP1A,NM_000801
CASC15,NR_015410
CSF1,NM_000757
ACSM6,NM_207321
PJA1,NM_001032396
ABCD4,NM_001353591
HINT2,NM_032593
TUBB2B,NM_178012
GLRX5,NM_016417
AURKAIP1,NM_001127229
U2AF1L4,NM_001040425
KRT10,NM_000421
CLIP2,NM_003388
POLR2K,NM_005034
SNHG11,NM_139016
FRMD3,NM_001244959
PIM3,NM_001001852
COQ8B,NM_001142555
TUBA1A,NM_001270399
TP53INP2,NM_001329429
RFK,NM_018339
SUMO4,NM_001002255
SHOC1,NM_001080551
ZNF790,NM_001242800
CCNJ,NM_001134375
HPR,NM_001384360
NFKBIZ,NM_001005474
RPA3,NM_002947
PPP3CC,NM_001243974
ELK3,NM_001303511
TMEM70,NM_001040613
PNPLA6,NM_001166111
CSKMT,NM_001043229
C7orf31,NM_001371351
RNF5,NM_006913
ATP1A3,NM_001256213
PIN1,NM_006221
NDUFA1,NM_004541
NHP2,NM_001034833
TICAM2,NM_021649
MYH15,NM_014981
DBNDD2,NM_001048221
GYG2,NM_001079855
NENF,NM_013349
NDUFA11,NM_001193375
TOMM22,NM_020243
PTPN7,NM_001199797
KCNIP4,NM_001035003
TCEAL8,NM_001006684
TMEM250,NM_001256526
SH3BP5,NM_001018009
RASSF2,NM_014737
P4HA3,NM_001288748
ASPDH,NM_001024656
NDUFB3,NM_001257102
SNRNP25,NM_024571
EIF5A2,NM_020390
SPINT2,NM_001166103
UNC5D,NM_001322818
GMFB,NM_004124
ETNPPL,NM_001146590
PPL,NM_002705
TUBA1B,NM_006082
UQCR10,NM_001003684
RPL36AL,NM_001001
OST4,NM_001134693
CASC19,NR_120364
PSMD10,NM_002814
PI15,NM_001324403
EMC6,NM_001014764
NGRN,NM_001033088
TMEM266,NM_152335
ARF1,NM_001024226
FLOT2,NM_001330170
MYH9,NM_002473
C11orf87,NM_207645
CRYZ,NM_001130042
RHPN1,NM_052924
UFC1,NM_016406
RPS17,NM_001021
MARCH3,NA
COPS9,NM_001163424
AP1S1,NM_001283
ACOT6,NM_001037162
IFI27L2,NM_032036
SLCO3A1,NM_001145044
GRID2IP,NM_001145118
SPRYD3,NM_032840
PIK3CD,NM_001350234
FBXL16,NM_153350
COX6C,NM_004374
TCEAL5,NM_001012979
STPG1,NM_001199012
CHCHD1,NM_203298
RERG,NM_001190726
ARPP21,NM_001025068
HLA-E,NM_005516
PNMA8B,NM_020709
