"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","edgeR_DE_BHQ","diff_mesor_BHQ"
"VEZF1","VEZF1","MA1578.1","3.02875",0.00119225,0.878228,0.867548,0.0520517,295,"False",0.0121364935897436,0.0140586242885703,0.0421450138653392,0.87384771260217,0.874393877899727,0.367979095164418,0.366708516332676,0.46165522933884,0.366708516332676
"ZBTB7C","ZBTB7C","MA0695.1","2.96423",0.00146794,0.829852,0.822194,0.0411981,295,"False",0.0147537260759494,0.000146387311627334,0.0615306436003341,0.841730009710151,0.842052380969885,-0.111113598555839,0.114819001187304,0.5207126601296,0.114819001187304
"HIF1A","HIF1A","MA1106.1","2.87559",0.0019494,0.843875,0.833935,0.0573302,295,"False",0.019347795,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805,0.484306763894514
"SPDEF","SPDEF","MA0686.1","2.82916",0.00223785,0.809558,0.801715,0.0519429,295,"False",0.0219364555555556,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0812.1","2.80179",0.00248415,0.862413,0.853532,0.0441002,295,"False",0.0240538426829268,NA,NA,NA,NA,NA,NA,NA,NA
"ELF4","ELF4","MA0641.1","2.69168",0.00340359,0.788309,0.779983,0.0617591,295,"False",0.0325596440963855,NA,NA,NA,NA,NA,NA,NA,NA
"KLF17","KLF17","MA1514.1","2.68958",0.00349269,0.790504,0.782544,0.0438901,295,"False",0.0330142364285714,NA,NA,NA,NA,NA,NA,NA,NA
"PLAG1","PLAG1","MA0163.1","2.68555",0.00353832,0.808424,0.800424,0.0433953,295,"False",0.0330520715294118,0.000145962360983419,0.216194480544597,0.445070220157088,0.446880309697702,-0.292216041701491,0.488992218027619,0.409479431732321,0.488992218027619
"ETS2","ETS2","MA1484.1","2.66916",0.0036808,0.856491,0.848397,0.0527431,295,"False",0.0339832,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673,0.338498973129538
"Ahr","Ahr::Arnt","MA0006.1","2.57401",0.00487796,0.923095,0.913397,0.0651368,295,"False",0.0440125027272727,1.5596867764787e-10,0.00575697917429244,0.715139405512206,0.716153926596011,-0.317537630122562,0.508364865099555,0.66163177394438,0.508364865099555
"Arnt","Ahr::Arnt","MA0006.1","2.57401",0.00487796,0.923095,0.913397,0.0651368,295,"False",0.0440125027272727,0.0174937797992605,0.116806791524892,NA,NA,NA,0.652439793633765,0.744383070556009,0.652439793633765
"MYCN","MYCN","MA0104.4","2.56743",0.00498292,0.79684,0.788166,0.056262,295,"False",0.0444543649438202,NA,NA,NA,NA,NA,NA,NA,NA
"INSM1","INSM1","MA0155.1","2.51713",0.00574902,0.863192,0.857047,0.0420717,295,"False",0.050719132,NA,NA,NA,NA,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","2.44582",0.00700633,0.859016,0.851358,0.0575313,295,"False",0.0611321540659341,0.00254558615242309,0.11529977794899,NA,NA,NA,0.0985824253984127,0.459487113852795,0.0985824253984127
"ELF2","ELF2","MA1483.1","2.43956",0.00708657,0.79751,0.790052,0.0614625,295,"False",0.0611601802173913,3.67868709383811e-12,0.000550557409944469,NA,NA,NA,0.5868245754344,0.908071014187523,0.5868245754344
"FEV","FEV","MA0156.2","2.38024",0.00839118,0.847939,0.840666,0.0571399,295,"False",0.0716408270967742,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF449","ZNF449","MA1656.1","2.32732",0.00977125,0.807761,0.800995,0.0455882,295,"False",0.0821993096842105,0.000232062846987522,0.0110711342233109,0.918229745742718,0.917827920553407,0.0511103553881532,0.907660351308991,0.870752974153176,0.907660351308991
"FLI1","FLI1","MA0475.2","2.32186",0.00983493,0.836533,0.82927,0.0579407,295,"False",0.0821993096842105,NA,NA,NA,NA,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","2.31435",0.0100444,0.853242,0.846278,0.0548219,295,"False",0.0830755583333333,0.0277094862463311,0.00364508157153728,0.645169618814241,0.646783083282732,0.586921721259125,0.92349159644547,0.756565992420676,0.92349159644547
"ETV3","ETV3","MA0763.1","2.3021",0.0103373,0.842346,0.835857,0.0549292,295,"False",0.0846166618556701,0.00250706931348498,0.00184111286956937,0.799273361705527,0.799619672407888,0.369060773288238,0.371919648238596,0.329456421841823,0.371919648238596
"THAP1","THAP1","MA0597.1","2.27545",0.0112516,0.925689,0.921664,0.0254227,295,"False",0.0903539919191919,0.000296762029318599,0.260072000150699,0.824789086738708,0.82502095278136,-0.38741527796548,0.787073196740828,0.972640317709612,0.787073196740828
"NFIX","NFIX","MA1528.1","2.27336",0.0112658,0.763351,0.756761,0.0466686,295,"False",0.0903539919191919,0.00349890485800597,0.0807929562479081,NA,NA,NA,0.00212255099815035,0.00936829406664611,0.00212255099815035
"ZNF135","ZNF135","MA1587.1","2.26544",0.0114875,0.792573,0.785202,0.0540388,295,"False",0.09121075,4.83295979234228e-08,0.000390708730525244,0.324643644253904,0.32577731887921,0.312909894701788,0.91593241932755,0.535246587661357,0.91593241932755
"FERD3L","FERD3L","MA1485.1","2.20751",0.0133709,0.776131,0.770135,0.0438833,295,"False",0.104815784313725,NA,NA,NA,NA,NA,NA,NA,NA
"CREB3L4","CREB3L4","MA1474.1","2.20206",0.013465,0.80109,0.795119,0.050965,295,"False",0.104815784313725,NA,NA,NA,NA,NA,NA,NA,NA
"SOHLH2","SOHLH2","MA1560.1","2.19899",0.0136051,0.809992,0.802357,0.0622179,295,"False",0.104878149514563,NA,NA,NA,NA,NA,NA,NA,NA
