"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"REL (mouse)",0.82401354076784,0.727714382555643,0.140862447732748,"['SLC10A4', 'IL1R1', 'MARS2', 'B3GNT4', 'SHISA2', 'MDGA1']",0.963940368445398,0,0,6,"REL",0.963940368445398,0.549747572483636,0.123575622212498,NA,NA,NA,0.69345692598298,0.775694938757344,0.8077514164217,0.859408892601487,NA,0.455333950271783
"FOS (human)",0.832391479132956,0.718432510885341,0.131798183461674,"['NTNG1', 'SLC14A1', 'RAB13', 'CDHR2', 'RAB3IL1', 'FUT2']",0.964640592640061,0,0,6,"FOS",0.964640592640061,0.0964443849109685,0.101305667015339,0.692676367162016,0.690777505790112,0.318767601218244,0.605374629566097,0.0074752849240899,NA,NA,NA,NA
"Prrx2 (mouse)",0.832391479132956,0.718432510885341,0.131798183461674,"['TTC30B', 'ANXA2', 'ZBBX', 'LYPD1', 'PIM3', 'SLC5A3']",0.964640592640061,0,0,6,"Prrx2",0.964640592640061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGR1 (human)",0.843613438635749,0.600534759358289,0.102127481898198,"['EPAS1', 'SLC38A3']",0.973098292007748,0,0,2,"EGR1",0.973098292007748,0.0680601180429178,0.0572704248373292,0.680573875735567,0.678748209277811,0.438586313266347,0.521402005476612,0.0041219042563076,NA,NA,NA,NA
"CBEPB (mouse)",0.853408284139482,0.73122125702606,0.115911147017718,"['ADAMTS5', 'IGFBP5', 'HOMER1', 'ARMCX6', 'HIST1H2BE', 'AMPD2', 'TEX15', 'PTGS2', 'RBMS2']",0.979839141049035,0,0,9,"CBEPB",0.979839141049035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LTF (human)",0.859570866999094,0.6693693136102,0.101290307380015,"['TMEM100', 'AMPD2', 'RAB3IL1', 'ADRA1D', 'CARD14']",0.982167217040461,0,0,5,"LTF",0.982167217040461,NA,NA,NA,NA,NA,NA,NA,0.201249390149889,0.809200500300786,NA,0.411923148133856
"FOXF2 (human)",0.867023505068467,0.660008551707287,0.0941760868000932,"['RAB13', 'HORMAD1', 'NUPR1', 'FUT2', 'DNAJC28']",0.982167217040461,0,0,5,"FOXF2",0.982167217040461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SREBF2 (human)",0.874145595732969,0.650889357853482,0.0875500416419886,"['SLC14A1', 'DCAKD', 'NUPR1', 'SLC26A6', 'FERMT3']",0.982167217040461,0,0,5,"SREBF2",0.982167217040461,0.234245491253602,0.62981848178609,NA,NA,NA,0.875886934061447,0.509308392208778,0.662497897646215,0.766827006063644,NA,0.956046951480586
"NR2F1 (mouse)",0.875237721636862,0.55036855036855,0.0733419741380731,"['DYRK3', 'SYTL3']",0.982167217040461,0,0,2,"NR2F1",0.982167217040461,1.21514889704387e-05,0.00196235591591456,NA,NA,NA,0.609028519723188,0.199456625758899,0.891162856673555,0.73866648675633,NA,0.217321985134514
"RORB (mouse)",0.875237721636862,0.55036855036855,0.0733419741380731,"['DYRK3', 'SYTL3']",0.982167217040461,0,0,2,"RORB",0.982167217040461,6.32323323573412e-07,9.32086484735858e-06,0.763816713476008,0.759733809241521,0.350158717911662,0.00210585782286219,0.186266069321273,NA,NA,NA,NA
