TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
Nkx3-1,Nkx3-1,MA0124.2,-0.965842,0.83302,0.824022,0.832362,0.0430221,38.0,False,0.9808576972010178
POU4F2,POU4F2,MA0683.1,-0.9698,0.833982,0.674891,0.685626,0.0450934,38.0,False,0.9808576972010178
Rarb,Rarb,MA0858.1,-0.971961,0.834571,0.694081,0.700934,0.0402717,38.0,False,0.9808576972010178
PHOX2A,PHOX2A,MA0713.1,-0.974495,0.835183,0.759484,0.77139,0.0635132,38.0,False,0.9808576972010178
ATOH1,ATOH1,MA1467.1,-0.997046,0.840777,0.822266,0.83003,0.0528558,38.0,False,0.9808576972010178
NEUROD1,NEUROD1,MA1109.1,-1.00735,0.843214,0.815994,0.824118,0.0440381,38.0,False,0.9808576972010178
EN1,EN1,MA0027.2,-1.0091,0.843658,0.854721,0.86567,0.066249,38.0,False,0.9808576972010178
PAX3,PAX3,MA0780.1,-1.00984,0.843788,0.716319,0.72919,0.0599325,38.0,False,0.9808576972010178
RORC,RORC,MA1151.1,-1.01215,0.84434,0.824332,0.831566,0.0339881,38.0,False,0.9808576972010178
HNF1A,HNF1A,MA0046.2,-1.01386,0.844756,0.720167,0.731904,0.0569129,38.0,False,0.9808576972010178
POU4F3,POU4F3,MA0791.1,-1.02355,0.847027,0.696206,0.708699,0.0483102,38.0,False,0.9808576972010178
ESRRA,ESRRA,MA0592.3,-1.02968,0.848546,0.767202,0.776198,0.054578,38.0,False,0.9808576972010178
SOX13,SOX13,MA1120.1,-1.0338,0.849449,0.818532,0.829006,0.0444829,38.0,False,0.9808576972010178
NR1D1,NR1D1,MA1531.1,-1.03685,0.850205,0.766693,0.773504,0.0377796,38.0,False,0.9808576972010178
ISX,ISX,MA0654.1,-1.03822,0.850531,0.827983,0.841417,0.0767561,38.0,False,0.9808576972010178
EMX1,EMX1,MA0612.2,-1.04112,0.85119,0.822192,0.834392,0.0652029,38.0,False,0.9808576972010178
LHX1,LHX1,MA1518.1,-1.04182,0.85139,0.876005,0.885667,0.0603799,38.0,False,0.9808576972010178
TBX20,TBX20,MA0689.1,-1.04177,0.851395,0.792293,0.800256,0.0531504,38.0,False,0.9808576972010178
RARA,RARA,MA0729.1,-1.0424,0.851502,0.687209,0.694408,0.041217,38.0,False,0.9808576972010178
THRB,THRB,MA1576.1,-1.04283,0.851593,0.731872,0.738049,0.0339712,38.0,False,0.9808576972010178
BHLHE22,BHLHE22,MA1635.1,-1.04394,0.851931,0.846912,0.85853,0.0849104,38.0,False,0.9808576972010178
