"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"FOS","FOS","MA0476.1","-1.38687",0.918204,0.814685,0.81946,0.0628504,316,"False",1,0.109387218066646,0.276973737739989,NA,0.897497283752334,NA,0.961183807429874,0.911157652746944
"SPI1","SPI1","MA0080.5","-1.38966",0.918529,0.747529,0.751331,0.0472875,316,"False",1,0.00216894282731618,0.0322572492957164,0.989433919918226,0.988948396273375,0.0995078322222715,0.468087440561481,0.724769227878771
"BHLHE40","BHLHE40","MA0464.2","-1.39366",0.919089,0.804941,0.809721,0.0577253,316,"False",1,0.00126535612073593,0.265858776734149,0.90066296061063,0.903416357227427,-0.214799213467992,0.950524070751322,0.981782110998341
"ONECUT2","ONECUT2","MA0756.1","-1.39372",0.919222,0.722499,0.72799,0.0712271,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"EVX1","EVX1","MA0887.1","-1.39872",0.919976,0.848914,0.85347,0.0590775,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Npas2","Npas2","MA0626.1","-1.40742",0.921252,0.836014,0.840522,0.0575895,316,"False",1,5.06662795670119e-06,0.012888824133395,0.532171189142866,0.523858143264627,-0.0201737274966087,0.30308094688362,0.568806941650866
"CUX2","CUX2","MA0755.1","-1.40969",0.921672,0.753972,0.75931,0.0712714,316,"False",1,0.022011944986502,0.804090761922631,0.70392654502967,0.711174076586451,-0.792205986611876,0.482368528592654,NA
"Nobox","Nobox","MA0125.1","-1.41209",0.922073,0.851782,0.856964,0.0707339,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"ZBTB32","ZBTB32","MA1580.1","-1.41456",0.922225,0.772595,0.777553,0.0603461,316,"False",1,0.0283731913563738,0.294438712946236,0.947959392164335,0.948846149502603,-0.0400170510437647,0.283835365013475,0.50624797394672
"POU2F2","POU2F2","MA0507.1","-1.41685",0.922622,0.774074,0.779783,0.0720006,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"TEAD4","TEAD4","MA0809.2","-1.4257",0.923924,0.807007,0.811377,0.0554243,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Sox11","Sox11","MA0869.1","-1.42994",0.924455,0.65189,0.656775,0.0590674,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"TP53","TP53","MA0106.3","-1.43168",0.924634,0.7048,0.707924,0.0360697,316,"False",1,0.022128532359942,0.968198323726415,0.558576646783829,0.555835895374054,-2.21959304726071,0.177032682294278,0.300381131193929
"ESX1","ESX1","MA0644.1","-1.42971",0.924637,0.838953,0.844224,0.071614,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXA6","HOXA6","MA1497.1","-1.45071",0.927516,0.843166,0.84754,0.0563635,316,"False",1,NA,NA,NA,NA,NA,NA,NA
